question,answer,educationLevel,gender,hispanicOrLatino,incomeLevel,lgbtq,livingSituation,occupation,pet,politicalAffiliation,race,religion,school,state
What’S Your Most Used Social Media App?,LinkedIn,Bachelor'S Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,No Pets,Slightly Liberal,White,Judaism,Tulane University Of Louisiana,Connecticut
What’S Your Most Used Social Media App?,TikTok,Bachelor'S Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Employed (Full Time),"Yes,Dog",Slightly Liberal,White,Christianity,Vanderbilt University ,Maryland
What’S Your Most Used Social Media App?,BeReal,Bachelor'S Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Employed (Full Time),"Yes,Dog",Moderate,White,Christianity,Vanderbilt University,Massachusetts
What’S Your Most Used Social Media App?,Other,High School,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Homeowner,Student,"Yes,Dog",Slightly Conservative,White,Christianity,Vanderbilt University,Texas
What’S Your Most Used Social Media App?,Facebook,Bachelor'S Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,"Yes, Dog",Slightly Conservative,White,Christianity,Vanderbilt University,Maryland
What’S Your Most Used Social Media App?,Other,High School,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Employed (Full Time),"Yes,Dog",Slightly Liberal,White,Judaism,Vanderbilt University,Texas
What’S Your Most Used Social Media App?,Facebook,Bachelor'S Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Slightly Liberal,White,Christianity,Vanderbilt University,Maryland
What’S Your Most Used Social Media App?,Other,Bachelor'S Degree,Male,Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Employed (Full Time),"Yes,Dog",Slightly Liberal,White,Not Religious,Vanderbilt University,California
What’S Your Most Used Social Media App?,Instagram,Bachelor'S Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Moderate,White,Judaism,Duke University,Texas
What’S Your Most Used Social Media App?,Facebook,Bachelor'S Degree,Male,Not Hispanic,"$100,000 - $200,000",Lgbtqia+,Lessee,Employed (Full Time),"Yes,Dog",Moderate,White,Hinduism,Vanderbilt University,Connecticut
What’S Your Most Used Social Media App?,LinkedIn,Bachelor'S Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Slightly Liberal,White,Christianity,Vanderbilt University ,Texas
What’S Your Most Used Social Media App?,TikTok,Bachelor'S Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,Yes. Both,Moderate,White,Judaism,Vanderbilt University,Texas
What’S Your Most Used Social Media App?,LinkedIn,Bachelor'S Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Living W/ Parents,Employed (Full Time),"Yes, Cat",Very Liberal,White,Christianity,Vanderbilt University,Texas
What’S Your Most Used Social Media App?,Facebook,Bachelor'S Degree,Female,Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Employed (Full Time),"Yes, Cat",Slightly Conservative,White,Christianity,Vanderbilt University,Texas
What’S Your Most Used Social Media App?,Facebook,Bachelor'S Degree,Female,Hispanic,"Less Than $25,000",Not Lgbtqia+,Lessee,Employed (Full Time),Yes. Both,Slightly Liberal,White,Judaism,Duke University,Texas
What’S Your Most Used Social Media App?,Twitter,Bachelor'S Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Slightly Conservative,White,Not Religious,Vanderbilt University,Connecticut
What’S Your Most Used Social Media App?,LinkedIn,Bachelor'S Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Very Liberal,White,Christianity,Vanderbilt University,Florida
What’S Your Most Used Social Media App?,LinkedIn,Bachelor'S Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Slightly Liberal,White,Christianity,Vanderbilt University ,Texas
What’S Your Most Used Social Media App?,Other,Bachelor'S Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Employed (Full Time),"Yes,Dog",Slightly Liberal,White,Christianity,Vanderbilt University ,Texas
What’S Your Most Used Social Media App?,Facebook,Bachelor'S Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Employed (Full Time),"Yes,Dog",Slightly Conservative,White,Not Religious,Vanderbilt University,California
What’S Your Most Used Social Media App?,BeReal,Bachelor'S Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Living W/ Parents,Employed (Full Time),Yes. Both,Moderate,Asian,Christianity,Vanderbilt University,Wisconsin
What’S Your Most Used Social Media App?,TikTok,Bachelor'S Degree,Male,Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Employed (Full Time),"Yes, Cat",Slightly Liberal,White,Christianity,Vanderbilt University,California
What’S Your Most Used Social Media App?,TikTok,Bachelor'S Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Homeowner,Student,"Yes,Dog",Slightly Conservative,White,Christianity,Vanderbilt University ,California
What’S Your Most Used Social Media App?,LinkedIn,Bachelor'S Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Living W/ Parents,Employed (Full Time),No Pets,Slightly Conservative,White,Christianity,Vanderbilt University,Connecticut
What’S Your Most Used Social Media App?,BeReal,Bachelor'S Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Slightly Conservative,White,Judaism,Vanderbilt University ,Texas
What’S Your Most Used Social Media App?,LinkedIn,Bachelor'S Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Slightly Liberal,White,Judaism,Vanderbilt University,Connecticut
What’S Your Most Used Social Media App?,Instagram,Bachelor'S Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Employed (Full Time),"Yes, Dog",Very Liberal,Asian,Christianity,Vanderbilt University ,Wisconsin
What’S Your Most Used Social Media App?,Facebook,High School,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Employed (Full Time),"Yes,Dog",Slightly Conservative,White,Christianity,Vanderbilt University,Connecticut
What’S Your Most Used Social Media App?,Other,Bachelor'S Degree,Male,Not Hispanic,"$50,000 - $100,000",Not Lgbtqia+,Lessee,Employed (Full Time),"Yes,Dog",Slightly Conservative,Asian,Judaism,Vanderbilt University ,Texas
What’S Your Most Used Social Media App?,TikTok,Bachelor'S Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,Yes. Both,Slightly Conservative,Native Hawaiian Or Other Pacific Islander,Christianity,Vanderbilt University,Texas
What’S Your Most Used Social Media App?,Other,Bachelor'S Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Living W/ Parents,Employed (Full Time),"Yes, Dog",Slightly Liberal,White,Not Religious,Vanderbilt University,Texas
What’S Your Most Used Social Media App?,Instagram,Bachelor'S Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Employed (Full Time),Yes. Both,Slightly Conservative,Native Hawaiian Or Other Pacific Islander,Christianity,Vanderbilt University ,Maryland
What’S Your Most Used Social Media App?,BeReal,Bachelor'S Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Employed (Full Time),"Yes,Dog",Slightly Liberal,Asian,Not Religious,Vanderbilt University,California
What’S Your Most Used Social Media App?,Instagram,Bachelor'S Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Homeowner,Employed (Full Time),"Yes,Dog",Very Liberal,White,Judaism,Vanderbilt University,Connecticut
What’S Your Most Used Social Media App?,Twitter,Bachelor'S Degree,Female,Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,No Pets,Moderate,White,Not Religious,Vanderbilt University,California
What’S Your Most Used Social Media App?,BeReal,Bachelor'S Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes, Dog",Slightly Conservative,White,Christianity,Vanderbilt University,Connecticut
What’S Your Most Used Social Media App?,TikTok,Bachelor'S Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Employed (Full Time),"Yes,Dog",Slightly Conservative,White,Christianity,Vanderbilt University,Texas
What’S Your Most Used Social Media App?,BeReal,Bachelor'S Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Homeowner,Student,"Yes,Dog",Slightly Liberal,White,Judaism,Vanderbilt University,Texas
What’S Your Most Used Social Media App?,Other,Bachelor'S Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Employed (Full Time),"Yes,Dog",Slightly Liberal,Asian,Not Religious,Vanderbilt University,Maryland
What’S Your Most Used Social Media App?,Facebook,Bachelor'S Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Very Liberal,White,Not Religious,Vanderbilt University,Alabama
What’S Your Most Used Social Media App?,Instagram,Bachelor'S Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Slightly Conservative,White,Christianity,Vanderbilt University ,California
What’S Your Most Used Social Media App?,TikTok,Bachelor'S Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Living W/ Parents,Employed (Full Time),"Yes,Dog",Slightly Conservative,White,Judaism,Vanderbilt University,Florida
What’S Your Most Used Social Media App?,TikTok,Bachelor'S Degree,Male,Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Slightly Liberal,White,Judaism,Vanderbilt University,Wisconsin
What’S Your Most Used Social Media App?,Instagram,Bachelor'S Degree,Male,Not Hispanic,"Less Than $25,000",Lgbtqia+,Lessee,Employed (Full Time),Yes. Both,Slightly Liberal,Native Hawaiian Or Other Pacific Islander,Judaism,Duke University,Alabama
What’S Your Most Used Social Media App?,TikTok,Bachelor'S Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Employed (Full Time),"Yes,Dog",Slightly Liberal,White,Christianity,Duke University,Connecticut
What’S Your Most Used Social Media App?,LinkedIn,Bachelor'S Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Very Liberal,White,Judaism,Vanderbilt University,Massachusetts
What’S Your Most Used Social Media App?,BeReal,Bachelor'S Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Employed (Full Time),Yes. Both,Slightly Liberal,White,Christianity,Vanderbilt University,Texas
What’S Your Most Used Social Media App?,TikTok,Bachelor'S Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Slightly Conservative,White,Judaism,Duke University,Alabama
What’S Your Most Used Social Media App?,Facebook,Bachelor'S Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Slightly Conservative,White,Not Religious,Vanderbilt University,Maryland
What’S Your Most Used Social Media App?,Twitter,Bachelor'S Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Homeowner,Employed (Full Time),No Pets,Slightly Liberal,White,Christianity,Vanderbilt University ,California
What’S Your Most Used Social Media App?,LinkedIn,Bachelor'S Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Living W/ Parents,Employed (Full Time),"Yes,Dog",Slightly Conservative,White,Not Religious,Vanderbilt University,Connecticut
What’S Your Most Used Social Media App?,BeReal,Bachelor'S Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Moderate,White,Not Religious,Vanderbilt University,Connecticut
What’S Your Most Used Social Media App?,BeReal,Bachelor'S Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Employed (Full Time),"Yes,Dog",Very Liberal,White,Not Religious,Vanderbilt University,Alabama
What’S Your Most Used Social Media App?,Facebook,Bachelor'S Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Employed (Full Time),"Yes,Dog",Very Liberal,White,Christianity,Vanderbilt University ,Alabama
What’S Your Most Used Social Media App?,Other,Bachelor'S Degree,Female,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Lessee,Student,"Yes, Dog",Slightly Conservative,White,Christianity,Duke University,Connecticut
What’S Your Most Used Social Media App?,Twitter,Bachelor'S Degree,Male,Not Hispanic,"More Than $200,000",Lgbtqia+,Lessee,Employed (Full Time),Yes. Both,Slightly Conservative,Native Hawaiian Or Other Pacific Islander,Hinduism,Duke University,Florida
What’S Your Most Used Social Media App?,LinkedIn,Bachelor'S Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Employed (Full Time),"Yes, Cat",Slightly Liberal,Asian,Christianity,Vanderbilt University ,Alabama
What’S Your Most Used Social Media App?,Twitter,Bachelor'S Degree,Male,Hispanic,"More Than $200,000",Not Lgbtqia+,Homeowner,Student,Yes. Both,Slightly Liberal,Asian,Not Religious,Vanderbilt University,Texas
What’S Your Most Used Social Media App?,Twitter,High School,Female,Not Hispanic,"More Than $200,000",Lgbtqia+,Lessee,Employed (Full Time),"Yes,Dog",Moderate,Asian,Christianity,Vanderbilt University,Texas
What’S Your Most Used Social Media App?,TikTok,Bachelor'S Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Employed (Full Time),"Yes,Dog",Slightly Conservative,White,Christianity,Vanderbilt University,Texas
What’S Your Most Used Social Media App?,Facebook,Bachelor'S Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Slightly Liberal,White,Christianity,Duke University,Texas
What’S Your Most Used Social Media App?,Other,Bachelor'S Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Slightly Liberal,White,Judaism,Vanderbilt University ,Texas
What’S Your Most Used Social Media App?,Other,Bachelor'S Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Very Liberal,White,Christianity,Vanderbilt University,Maryland
What’S Your Most Used Social Media App?,BeReal,High School,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Employed (Full Time),"Yes,Dog",Slightly Liberal,White,Not Religious,Vanderbilt University ,Florida
What’S Your Most Used Social Media App?,Other,Bachelor'S Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Employed (Full Time),"Yes,Dog",Slightly Conservative,White,Christianity,Vanderbilt University,Florida
What’S Your Most Used Social Media App?,Instagram,Bachelor'S Degree,Female,Not Hispanic,"More Than $200,000",Lgbtqia+,Living W/ Parents,Employed (Full Time),Yes. Both,Slightly Conservative,White,Christianity,Vanderbilt University ,California
What’S Your Most Used Social Media App?,Facebook,Bachelor'S Degree,Female,Not Hispanic,"$100,000 - $200,000",Lgbtqia+,Homeowner,Employed (Full Time),Yes. Both,Slightly Liberal,Native Hawaiian Or Other Pacific Islander,Judaism,Vanderbilt University ,Massachusetts
What’S Your Most Used Social Media App?,Facebook,Bachelor'S Degree,Female,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Homeowner,Employed (Full Time),"Yes,Dog",Slightly Conservative,White,Judaism,Vanderbilt University,Connecticut
What’S Your Most Used Social Media App?,Instagram,High School,Female,Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Living W/ Parents,Employed (Full Time),"Yes,Dog",Slightly Conservative,Native Hawaiian Or Other Pacific Islander,Not Religious,Tulane University Of Louisiana,Texas
What’S Your Most Used Social Media App?,Other,Bachelor'S Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Slightly Conservative,Asian,Judaism,Vanderbilt University,Texas
What’S Your Most Used Social Media App?,Facebook,Bachelor'S Degree,Male,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Very Liberal,White,Christianity,Vanderbilt University,California
What’S Your Most Used Social Media App?,Twitter,Bachelor'S Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Employed (Full Time),"Yes,Dog",Slightly Liberal,White,Judaism,Vanderbilt University ,Wisconsin
What’S Your Most Used Social Media App?,LinkedIn,High School,Female,Not Hispanic,"Less Than $25,000",Lgbtqia+,Lessee,Student,"Yes,Dog",Slightly Conservative,White,Judaism,Vanderbilt University,California
What’S Your Most Used Social Media App?,Twitter,Bachelor'S Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Employed (Full Time),No Pets,Slightly Liberal,White,Not Religious,Vanderbilt University ,Texas
What’S Your Most Used Social Media App?,BeReal,Bachelor'S Degree,Male,Not Hispanic,"More Than $200,000",Lgbtqia+,Lessee,Employed (Full Time),"Yes,Dog",Slightly Liberal,Asian,Christianity,Vanderbilt University,Florida
What’S Your Most Used Social Media App?,LinkedIn,Bachelor'S Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Employed (Full Time),"Yes,Dog",Slightly Conservative,White,Hinduism,Vanderbilt University ,Maryland
What’S Your Most Used Social Media App?,Instagram,Bachelor'S Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Slightly Conservative,Asian,Christianity,Vanderbilt University,Maryland
What’S Your Most Used Social Media App?,Other,Bachelor'S Degree,Male,Not Hispanic,"More Than $200,000",Lgbtqia+,Dorm Resident,Employed (Full Time),"Yes,Dog",Slightly Liberal,Asian,Not Religious,Vanderbilt University,Texas
What’S Your Most Used Social Media App?,BeReal,Bachelor'S Degree,Female,Not Hispanic,"$50,000 - $100,000",Not Lgbtqia+,Living W/ Parents,Student,No Pets,Slightly Conservative,Native Hawaiian Or Other Pacific Islander,Not Religious,Vanderbilt University ,Maryland
What’S Your Most Used Social Media App?,TikTok,Bachelor'S Degree,Female,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Living W/ Parents,Employed (Full Time),"Yes,Dog",Very Liberal,Native Hawaiian Or Other Pacific Islander,Christianity,Vanderbilt University ,Connecticut
What’S Your Most Used Social Media App?,BeReal,High School,Female,Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Slightly Conservative,Asian,Not Religious,Vanderbilt University,Connecticut
What’S Your Most Used Social Media App?,Twitter,Bachelor'S Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Employed (Full Time),"Yes, Dog",Slightly Liberal,White,Not Religious,Vanderbilt University,Texas
What’S Your Most Used Social Media App?,LinkedIn,Bachelor'S Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Living W/ Parents,Employed (Full Time),"Yes,Dog",Very Liberal,White,Judaism,Vanderbilt University ,Texas
What’S Your Most Used Social Media App?,TikTok,Bachelor'S Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Homeowner,Student,"Yes,Dog",Slightly Liberal,White,Christianity,Vanderbilt University,California
What’S Your Most Used Social Media App?,LinkedIn,Bachelor'S Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Moderate,White,Christianity,Vanderbilt University,Alabama
What’S Your Most Used Social Media App?,Instagram,Bachelor'S Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Slightly Liberal,White,Hinduism,Tulane University Of Louisiana,Florida
What’S Your Most Used Social Media App?,Other,Bachelor'S Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,Yes. Both,Very Liberal,White,Christianity,Vanderbilt University,Wisconsin
What’S Your Most Used Social Media App?,Facebook,Bachelor'S Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Employed (Full Time),"Yes,Dog",Slightly Conservative,Asian,Not Religious,Vanderbilt University,Florida
What’S Your Most Used Social Media App?,Other,Bachelor'S Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Employed (Full Time),"Yes,Dog",Very Liberal,White,Not Religious,Vanderbilt University ,Maryland
