question,answer,educationLevel,gender,hispanicOrLatino,incomeLevel,lgbtq,livingSituation,occupation,pet,politicalAffiliation,race,religion,school,state
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Dorm Resident,Student,No Pets,Slightly Liberal,White,Not Religious,Santa Clara University,Texas
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,Yes. Both,Moderate,White,Christianity,Johns Hopkins University,Oregon
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Homeowner,Student,"Yes,Dog",Slightly Conservative,White,Not Religious,University of Southern California,Maryland
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Slightly Liberal,Black or African American,Christianity,"University of California, San Diego (UCSD)",Texas
What social media app do you doom scroll on the most?,Instagram,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Living W/ Parents,Employed (Full Time),"Yes,Dog",Slightly Liberal,Black or African American,Christianity,University of Hawai'i at Manoa,Massachusetts
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,No Pets,Very Liberal,Black or African American,Christianity,"Rutgers - The State University of New Jersey, New Brunswick",Texas
What social media app do you doom scroll on the most?,TikTok,High School,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,No Pets,Slightly Conservative,Black or African American,Not Religious,Howard University,New York
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Employed (Full Time),"Yes,Dog",Slightly Liberal,Black or African American,Christianity,Temple University,Missouri
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Slightly Liberal,Other,Not Religious,University at Albany SUNY,South Carolina
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Employed (Full Time),"Yes,Dog",Moderate,White,Christianity,Florida State University,Michigan
What social media app do you doom scroll on the most?,TikTok,High School,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Slightly Liberal,White,Not Religious,"University of Maryland, Baltimore County",Texas
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,No Pets,Moderate,White,Other,"University of Minnesota, Twin Cities",North Carolina
What social media app do you doom scroll on the most?,Twitter,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Very Liberal,White,Not Religious,University of Virginia,Florida
What social media app do you doom scroll on the most?,Instagram,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes, Cat",Slightly Conservative,White,Christianity,Virginia Polytechnic Institute (Virginia Tech),Florida
What social media app do you doom scroll on the most?,Twitter,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,No Pets,Moderate,White,Christianity,"Rutgers - The State University of New Jersey, New Brunswick",North Carolina
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes, Dog",Slightly Liberal,Alaska Native,Christianity,University of Hawai'i at Manoa,Iowa
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Moderate,White,Christianity,Vanderbilt University,Florida
What social media app do you doom scroll on the most?,Instagram,Bachelor's Degree,Female,Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Employed (Full Time),"Yes,Dog",Moderate,White,Christianity,New Jersey Institute of Technology (NJIT),Florida
What social media app do you doom scroll on the most?,BeReal,Bachelor's Degree,Male,Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Moderate,White,Christianity,University of Michigan,Indiana
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Lgbtqia+,Dorm Resident,Student,"Yes, Dog",Slightly Liberal,White,Christianity,Oregon State University,Colorado
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Employed (Full Time),"Yes,Dog",Very Liberal,White,Buddhism,Indiana University Bloomington,Washington
What social media app do you doom scroll on the most?,Twitter,Bachelor's Degree,Female,Not Hispanic,"Less Than $25,000",Lgbtqia+,Lessee,Student,No Pets,Moderate,White,Christianity,College of William and Mary,Maryland
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Hispanic,"Less Than $25,000",Not Lgbtqia+,Dorm Resident,Employed (Full Time),"Yes,Dog",Slightly Conservative,White,Hinduism,University of Arizona,California
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,No Pets,Moderate,White,Not Religious,"University of Illinois, Chicago (UIC)",Minnesota
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Slightly Liberal,White,Christianity,"University of Oklahoma, Norman",New Jersey
What social media app do you doom scroll on the most?,TikTok,High School,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Moderate,White,Christianity,"University of California, Santa Barbara (UCSB)",Rhode Island
What social media app do you doom scroll on the most?,Twitter,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,Yes. Both,Moderate,Black or African American,Christianity,Rice University,Texas
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Very Liberal,Other,Christianity,New Jersey Institute of Technology (NJIT),Pennsylvania
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Dorm Resident,Student,Yes. Both,Slightly Conservative,White,Christianity,Howard University,California
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Moderate,Black or African American,Judaism,University of Notre Dame,California
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Employed (Full Time),Yes. Both,Slightly Liberal,White,Christianity,Brown University,Washington
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Very Liberal,White,Not Religious,University of Iowa,North Carolina
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Employed (Full Time),"Yes,Dog",Slightly Conservative,White,Not Religious,George Washington University,Texas
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Lessee,Student,Yes. Both,Slightly Liberal,Black or African American,Christianity,New York University (NYU),Texas
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Very Conservative,White,Judaism,Stony Brook University,New York
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,Yes. Both,Moderate,White,Christianity,"Ohio State University, Columbus",Florida
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Slightly Liberal,White,Not Religious,University of Pittsburgh,Illinois
What social media app do you doom scroll on the most?,Twitter,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes, Dog",Moderate,Asian,Not Religious,Lehigh University,Illinois
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,No Pets,Slightly Liberal,White,Not Religious,Harvard University,California
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Lessee,Employed (Full Time),"Yes, Cat",Moderate,White,Not Religious,Oregon State University,Florida
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,No Pets,Moderate,White,Not Religious,University of Houston,Utah
What social media app do you doom scroll on the most?,Instagram,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Dorm Resident,Student,Yes. Both,Slightly Conservative,Native Hawaiian or Other Pacific Islander,Christianity,Georgetown University,Iowa
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes, Dog",Slightly Liberal,White,Buddhism,Stony Brook University,Michigan
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,No Pets,Moderate,White,Christianity,"University of Massachusetts, Boston",Ohio
What social media app do you doom scroll on the most?,Instagram,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Very Liberal,Alaska Native,Not Religious,Columbia University,Tennessee
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,No Pets,Moderate,White,Christianity,Syracuse University,California
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Living W/ Parents,Student,No Pets,Slightly Conservative,Asian,Not Religious,Tulane University,Hawaii
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,No Pets,Slightly Liberal,Black or African American,Other,University of Hawai'i at Manoa,New York
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Lessee,Employed (Full Time),"Yes, Cat",Slightly Liberal,White,Islam,Michigan State University,California
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Employed (Full Time),"Yes,Dog",Slightly Conservative,Asian,Not Religious,University of Michigan,New York
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Employed (Full Time),"Yes, Cat",Moderate,White,Christianity,Cornell University,Minnesota
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Hispanic,"$50,000 - $100,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Moderate,White,Hinduism,"Rutgers - The State University of New Jersey, New Brunswick",Texas
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Moderate,White,Christianity,"University of Maryland, College Park",Texas
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Very Liberal,White,Christianity,Carnegie Mellon University,Nevada
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,No Pets,Moderate,White,Not Religious,University of Wisconsin-Madison,California
What social media app do you doom scroll on the most?,Instagram,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Employed (Full Time),"Yes,Dog",Very Conservative,White,Christianity,University of Hawai'i at Manoa,New York
What social media app do you doom scroll on the most?,TikTok,High School,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,No Pets,Moderate,White,Christianity,University of Utah,Florida
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Very Liberal,White,Not Religious,Harvard University,Mississippi
What social media app do you doom scroll on the most?,Other,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,No Pets,Moderate,Black or African American,Not Religious,Purdue University,California
What social media app do you doom scroll on the most?,Instagram,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,"Yes, Cat",Moderate,White,Not Religious,"University of California, Irvine",Idaho
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Slightly Conservative,White,Christianity,University of Connecticut,New York
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Slightly Conservative,White,Christianity,University of Kansas,Idaho
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Employed (Full Time),"Yes,Dog",Moderate,White,Christianity,"University of California, San Diego (UCSD)",New York
What social media app do you doom scroll on the most?,Twitter,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Slightly Liberal,White,Christianity,Rice University,Oregon
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Slightly Conservative,White,Christianity,Emory University,Maryland
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Moderate,Asian,Christianity,"University of Massachusetts, Amherst",Colorado
What social media app do you doom scroll on the most?,TikTok,High School,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,No Pets,Moderate,Black or African American,Christianity,Tufts University,Kansas
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Dorm Resident,Employed (Full Time),"Yes,Dog",Slightly Conservative,White,Not Religious,Brown University,Florida
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Slightly Conservative,American Indian,Christianity,New Jersey Institute of Technology (NJIT),New Jersey
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Living W/ Parents,Employed (Full Time),"Yes,Dog",Very Conservative,White,Christianity,University of Texas Dallas,Maryland
What social media app do you doom scroll on the most?,Instagram,Bachelor's Degree,Male,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Slightly Liberal,White,Not Religious,University of Houston,Ohio
What social media app do you doom scroll on the most?,Instagram,Bachelor's Degree,Female,Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Living W/ Parents,Employed (Full Time),"Yes,Dog",Slightly Conservative,White,Hinduism,University of Virginia,Pennsylvania
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Slightly Conservative,White,Christianity,Howard University,Pennsylvania
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Moderate,Black or African American,Christianity,Indiana University Bloomington,Pennsylvania
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,Yes. Both,Slightly Conservative,White,Christianity,Brandeis University,Tennessee
What social media app do you doom scroll on the most?,TikTok,High School,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Dorm Resident,Employed (Full Time),"Yes, Cat",Moderate,Black or African American,Not Religious,Brown University,Utah
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Moderate,White,Other,University of New Mexico,North Carolina
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Employed (Full Time),"Yes, Cat",Moderate,White,Christianity,"University of Washington, Seattle",Texas
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Moderate,Asian,Christianity,San Diego State University,Michigan
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Slightly Liberal,White,Christianity,Indiana University Bloomington,New York
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Very Conservative,Asian,Not Religious,Northeastern University,Washington
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Moderate,White,Christianity,University of Notre Dame,California
What social media app do you doom scroll on the most?,Instagram,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Lgbtqia+,Lessee,Student,Yes. Both,Moderate,White,Not Religious,Case Western Reserve University,Florida
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Moderate,Black or African American,Christianity,"Rutgers - The State University of New Jersey, Newark",Texas
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes, Cat",Slightly Conservative,White,Christianity,"University of Massachusetts, Boston",Tennessee
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,Yes. Both,Slightly Liberal,White,Christianity,University of Pittsburgh,Illinois
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Lgbtqia+,Dorm Resident,Student,No Pets,Moderate,White,Christianity,Columbia University,Florida
What social media app do you doom scroll on the most?,Twitter,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,No Pets,Slightly Liberal,Asian,Christianity,Oregon State University,Florida
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Lgbtqia+,Lessee,Employed (Full Time),"Yes,Dog",Moderate,White,Christianity,Howard University,Tennessee
What social media app do you doom scroll on the most?,Instagram,Bachelor's Degree,Female,Hispanic,"Less Than $25,000",Not Lgbtqia+,Lessee,Student,"Yes, Dog",Moderate,White,Christianity,Illinois Institute of Technology,Alabama
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,"Yes, Cat",Very Conservative,White,Christianity,University of Connecticut,Florida
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Slightly Conservative,Black or African American,Christianity,Lehigh University,Massachusetts
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Moderate,White,Christianity,"University of Maryland, Baltimore County",Louisiana
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,No Pets,Slightly Conservative,White,Christianity,Drexel University,New Jersey
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Slightly Liberal,White,Not Religious,George Washington University,North Carolina
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Dorm Resident,Student,No Pets,Slightly Liberal,White,Not Religious,Stony Brook University,Colorado
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"$50,000 - $100,000",Not Lgbtqia+,Living W/ Parents,Student,Yes. Both,Moderate,White,Christianity,University of Pittsburgh,Florida
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Hispanic,"More Than $200,000",Lgbtqia+,Lessee,Employed (Full Time),"Yes,Dog",Slightly Liberal,White,Christianity,Stony Brook University,Illinois
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Very Liberal,Black or African American,Christianity,University of Wisconsin-Madison,California
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"$50,000 - $100,000",Not Lgbtqia+,Dorm Resident,Student,"Yes, Cat",Slightly Liberal,White,Not Religious,Temple University,Minnesota
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Very Conservative,White,Christianity,"University of California, Santa Cruz (UCSC)",Utah
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Slightly Conservative,Black or African American,Other,"Pennsylvania State University, University Park",New Mexico
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,No Pets,Slightly Conservative,White,Not Religious,Virginia Polytechnic Institute (Virginia Tech),New Jersey
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,No Pets,Slightly Conservative,White,Christianity,Tulane University,Texas
What social media app do you doom scroll on the most?,TikTok,High School,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,No Pets,Slightly Liberal,White,Not Religious,"Rutgers - The State University of New Jersey, Newark",Missouri
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,No Pets,Very Conservative,Asian,Other,University of Notre Dame,Pennsylvania
What social media app do you doom scroll on the most?,Twitter,Bachelor's Degree,Female,Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Very Liberal,White,Hinduism,University of Houston,Missouri
What social media app do you doom scroll on the most?,Twitter,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,No Pets,Moderate,White,Christianity,University of Pittsburgh,Colorado
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Slightly Liberal,Alaska Native,Christianity,"Pennsylvania State University, University Park",Minnesota
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Lgbtqia+,Lessee,Student,"Yes, Dog",Moderate,White,Not Religious,University of Rochester,Louisiana
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,No Pets,Moderate,White,Judaism,Washington University in St. Louis,California
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Dorm Resident,Student,No Pets,Moderate,Asian,Not Religious,Drexel University,North Carolina
What social media app do you doom scroll on the most?,Instagram,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Moderate,White,Christianity,Boston College,Massachusetts
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes, Dog",Very Conservative,White,Christianity,University of Texas at Austin,Pennsylvania
